Tweet_lemmatized
"['rt', 'shesooosaddity', 'twitter', '', 'rt']"
"['cloudnaii', '']"
"['issahairplug', 'drink', 'water', 'replaced', 'good', 'morning']"
"['nethatguy', 'taking', 'oomf', 'fleet']"
"['jusjust', 'remember', 'dedicate', 'tweet']"
"['ambrncole', 'tourist']"
"['phallonxoxo', 'proof', '😌']"
"['hating\n\nbut', 'fleeting', '🧐']"
"['thing', 'tweet', 'wanted', 'close', 'nah', '\n\nwe', 'place', 'for…', 'httpstcojeozaaq']"
"['quakerraina', 'art']"
"['tsm', 'arent', 'foot']"
"['muharikah', 'tweet', 'graduated', 'honor']"
"['badgirikiki', 'love', 'wait', 'wedding', 'pic', '🥺']"
"['rt', 'thedapperilla', 'httpstcovaqvghu']"
['breathe']
"['sexyvamplre', 'apology', 'accepted']"
"['darealet', 'h🌑']"
"['theghostgaming', 'thirsty']"
"['andrewjacklin', 'hydrated']"
"['litcapital', 'moon', 'share']"
"['dogvegano', 'bark', 'star']"
"['sliimsadie', 'rubber', 'ducky', 'knew']"
"['moon', 'hydrate']"
"['reading', 'article', 'retweeting', 'growth\n\nbefore', 'retweet', 'article', 'remind', 'read', 'it…', 'httpstcohzsicdtr']"
"['hey', 'made', 'temporary', 'change', 'retweet', 'function', '\n\nwhen', 'hit', 'retweet', 'button', 'either…', 'httpstcouvopxiios']"
"['rt', 'lestheprez', 'twitter', 'friend', 'met', 'person', 'succeed', 'httpstcozenotgulc']"
"['rt', 'virafied', 'httpstconaehxgx']"
"['lunancts', 'dedication']"
"['starheal', 'single', 'person', 'app']"
"['couribruv', 'good', 'tweet']"
"['wowimnothere', 'check']"
"['kaidavispoet', 'forgot', '😂']"
"['imbrittanyevans', 'mutual', 'acknowledgment', 'good', 'tweet', 'friendship']"
"['sharjeelkd', 'httpstcotmdtvgotmn']"
"['micawave', 'started', '', '', '', '', '', '', '', '', '', 'ended']"
"['issataiii', 'make', 'dm', 'open']"
"['missxbri', 'classic']"
"['emmahekel', 'stop']"
"['deshla', 'stranger', 'bffs', 'twitter', 'real', 'quick']"
"['djnickeysm', 'cool', 'cool', 'cool', 'cool', 'cool']"
"['ashleymr', 'sign', 'mask']"
"['danteezus', 'real', 'book']"
"['rsg', 'worth', 'taking', 'l', 'tbh']"
"['rsg', '👀😷', 'httpstcoshsqvbrif']"
"['ashleymr', '👀😷', 'httpstcodesfixdjdy']"
"['djnickeysm', '👀😷', 'httpstcoyxywekt']"
"['rt', 'ezrabutler', 'retweet', 'httpstcoppfehrdyv']"
"['alexmella', 'dan', 'ryan', 'expressway', 'chicago', 'north', 'cermak']"
"['alexmella', 'confirming', 'real']"
"['fruitydyke', '👀😷', 'httpstcolppzihxks']"
"['sylveeoncutie', '👀😷', 'httpstcopvtokdbm']"
"['stefaniwhylie', '👀😷', 'httpstcosuvlvjrkl']"
"['averykjones', '👀😷', 'httpstcozjtsfhpopo']"
"['therealmrmint', 'pretty', 'simple', 'wear', 'pant']"
"['grovymango', 'narrator', 'mockup']"
"['leoncbrunson', 'ohits', 'real']"
"['mspiceo', '👀😷', 'httpstcoiuklnef']"
"['lolstiz', '👀😷', 'httpstcozltjzn']"
"['grovymango', '👀😷', 'httpstcofnxzfvheef']"
"['anniedolo', '👀😷', 'httpstcotctrydixs']"
"['adityamsharma', '👀😷', 'httpstconbxhuu']"
"['khetlymmm', '👀😷', 'httpstcowrddqxhn']"
"['ezrabutler', '👀😷', 'httpstcotbzybmtgb']"
"['salemjakes', '👀😷', 'httpstcoxyzftvyz']"
"['ultragloss', '👀😷', 'httpstcoczgqudcnr']"
"['amandaduberman', '👀😷', 'httpstcojfzgqbfce']"
"['yayeetmybeets', '👀😷', 'httpstcoyrpvtr']"
"['smoothbrothab', '👀😷', 'httpstcoccqwtm']"
"['sirohiyasatvik', '👀😷', 'httpstcojlmhhpaad']"
"['lizzieshaneak', '👀😷', 'httpstcoapaavol']"
"['ismashfizzle', '👀😷', 'httpstcoskyitmkin']"
"['darielloyal', '👀😷', 'httpstcofugbfbjtx']"
"['allikaiter', '👀😷', 'httpstcoxgialfzsd']"
"['alexmella', '👀😷', 'httpstcowyqnyvde']"
"['carlasoto', '👀😷', 'httpstcofwmjpcudcn']"
"['thecatwhisprer', '👀😷', 'httpstcowjdqlbij']"
"['whatareyouhaiku', '👀😷', 'httpstcozyhumbuq']"
"['thing', 'viral', 'tweet\n\nwearamask']"
"['maresknj', '👀😷', 'httpstcodlleuzohu']"
"['krmrtweets', '👀😷', 'httpstcolvdkzthl']"
"['imkikosuarez', '👀😷', 'httpstcoaoehyfcr']"
"['schultesophie', '👀😷', 'httpstcohljtzxsg']"
"['ummahaha', 'real', '']"
"['vincentegunlae', '👀😷', 'httpstcotatipa']"
"['mjwfilms', '👀😷', 'httpstcogfpwvvo']"
"['📍', 'chicago\n😷', 'idkdenice', 'httpstcohnlhnr']"
"['📍', 'york', 'city\n😷', 'taraslone', 'httpstcoshjbnlsshb']"
"['📍', 'seattle\n😷', 'lightstairs', 'httpstcoylierzl']"
"['📍miami\n😷', 'caitlindineen', 'httpstcomzmonvgd']"
"['📍', 'los', 'angeles\n😷', 'tog', 'httpstcobxusohl']"
"['📍', 'jersey\n😷', 'ummahaha', 'httpstcotzqffuhc']"
"['ummahaha', '👀😷', 'httpstcopsfagnxqki']"
"['chapstick', '👀😷', 'httpstcorjzdsjldzh']"
"['madherries', '👀😷', 'httpstcofgwwaywx']"
"['elvenarcher', '👀😷', 'httpstcomioqutqyc']"
"['dezidoesit', '👀😷', 'httpstcowrlotkjwml']"
"['katsully', '👀😷', 'httpstcovbncdfzvdh']"
"['blakekimball', '👀😷', 'httpstcojioejish']"
"['jillboard', '👀😷', 'httpstcojdodbqhll']"
"['dhstark', '👀😷', 'httpstcoiggutbmx']"
"['morgswrld', '👀😷', 'httpstcoyrlqzmbcul']"
"['theresballz', '👀😷', 'httpstcoribmcatj']"
"['markseyelashes', '👀😷', 'httpstcogsofolc']"
"['deccatori', '👀😷', 'httpstcotwmzbowcjh']"
"['theprofessordi', '👀😷', 'httpstcofcyixwdil']"
"['taraslone', '👀😷', 'httpstcomljelzruxi']"
"['colonelfalafel', '👀😷', 'httpstcowbwmruxiy']"
"['lightstairs', '👀😷', 'httpstcokuxxswdoa']"
"['endocrimes', 'hudson', 'yard']"
"['pashh', '👀😷', 'httpstcohcqiyz']"
"['endocrimes', '👀😷', 'httpstcogwvhlaloh']"
"['caitlindineen', '😘😷']"
"['tog', '👀😷', 'httpstcoldvsgogko']"
"['caitlindineen', '👀😷', 'httpstconpxszvkam']"
"['teambryguy', '👀😷', 'httpstcolpfmoi']"
"['brettcohenshow', '👀😷', 'httpstcoicszhoihm']"
"['idkdenice', '👀😷', 'httpstcozilunwhtj']"
"['txnyam', '👀😷', 'httpstcodubkdcjy']"
['charlidamelio']
"['neonnuisance', 'deserve', 'happiness']"
"['paul', 'rudd', 'edit', 'button']"
['blndls']
"['theniptunes', 'profile', 'httpstcozfsubirmil']"
"['seungminavocado', 'streaming', 'back', 'door', 'stream', 'back', 'door']"
"['monipersona', 'twitter', 'brain', 'notification', 'turned']"
"['ashnicholsart', 'work']"
"['beerfiend', 'model', 'behavior']"
"['reapsii', 'support']"
"['sydlarge', 'accepting', 'acceptance']"
['criminalcosta']
['gnuman']
"['thetzechun', 'room', 'let', 'pop']"
"['treydayway', 'wholesome']"
"['stalliminaj', 'good']"
"['lizmaupin', 'gap', 'market', 'account']"
"['rt', 'tbrown', 'follow', 'heart', 'kid', 'httpstcovvovybwsg']"
"['simplysnipes', 'model', 'student']"
"['rmetropoliso', 'obsessed']"
"['pauzazuetaz', 'cute', 'sticker', '😉']"
"['satwilite', 'thanking', 'good']"
"['walker', 'dark', 'mode', 'gorgeous']"
"['mahafuz', 'thinking', 'box']"
"['asimriazteam', 'perfection']"
['redwithgold']
"['bravinyuri', 'message']"
['ogbeniceejay']
"['kellymonster', 'love', 'hustle']"
"['kellymonster', 'direction']"
"['wear', 'mask\n\nalso', 'screenshot', 'post', 'ig', 'great']"
['realoldpaul']
"['didnt', 'work', 'httpstcoasohhvq']"
"['goodbeanaltalt', 'replying', 'tweet']"
"['goodbeanaltalt', 'hotpockets', 'happy', 'hot', 'pocket']"
"['acroald', 'felt', 'moment']"
"['acroald', 'oops', 'again\nhttpstcoyjqmfbk']"
"['veedrasroom', 'level', '', 'quicksand', 'whats', '']"
"['owenlang', 'time', 'work']"
['laucastrillon']
['brintrevised']
"['lifesleepyhead', 'positive']"
"['usopen', 'love']"
"['vraxooo', 'warm']"
"['tavoncooke', 'thrilling']"
"['domainechambord', 'favorite', 'chateau']"
"['datdustyy', 'october', 'doesnt', 'spooky']"
['roooossshhiiiii']
"['vinivinci', 'ignore', 'part']"
['month']
"['things—\n\n', 'retweets', 'comment', 'changing', 'quote', 'tweets\n\n', 'quote', 'tweet', 'to…', 'httpstcoujepaqfp']"
['barastrycova']
"['coffeetan', 'needed', 'stretch']"
"['hammyinmiami', 'mutuals', 'short', 'mutual', 'weirdness']"
"['heonbf', 'make', 'sense']"
"['nliddle', 'performance', 'mention', 'follow', 'day']"
['denzeldion']
"['ssr', '', 'september', 'summer']"
"['tweet', '', '\n\na', 'tribute', 'fit', 'king', '\n\nwakandaforever', 'httpstcolpyzmnivop']"
"['mecookiemonster', 'sending', 'cookie', 'httpstcovqbrkviw']"
"['niquotein', 'tweet']"
"['juliedicaro', 'table']"
"['nexttoecstasy', 'good']"
"['racailleux', 'thing', 'hed', 'react', 'scrolling', 'tweet']"
"['georgebacon', 'twitter', 'follower', 'breaking', 'mutual', 'kinda', 'sad']"
"['sidharthsbae', 'correct', 'love']"
"['thegodjihyostan', 'applying', 'low', 'maintenance', 'mutuals']"
"['elliottblackwe', 'sitting', 'debating', '', '', 'minute']"
"['oscarthegrouch', 'love']"
"['oscarthegrouch', 'edit', 'button']"
"['oscarthegrouch', 'pineapple', 'pizza']"
"['hey', 'oscarthegrouch', '']"
"['tested', 'tweeted', 'rolling', 'httpstcowqqdikz']"
"['busralcinar', 'nasa', 'love', 'mar', 'back', 'httpstcozppyyk']"
"['octaviaspencer', 'adrenaline', 'httpstcohxhilteh']"
"['astrotoya', 'solarrsystem', 'uh', 'httpstcouhuilgkb']"
"['nasapersevere', 'nasa', 'send', 'pic', 'check', 'make', 'work']"
"['rocketjoy', 'stuff', 'httpstcoyznzndpic']"
"['kazba', 'httpstcovbslsgea']"
"['solarrsystem', 'awake', 'httpstcovypvjknk']"
"['arshitasingh', 'let', 'blast', 'httpstcoxssweebsv']"
"['asherplangnan', 'httpstcosdkfgylvb']"
"['mariannemaexcxc', 'bring', 'bts', 'martian', 'httpstcozyecbwolmu']"
"['thismarcelo', 'gaga', 'suit', 'monster', 'httpstcohmemjnvk']"
"['kaitlynnraecook', 'life', 'mar', 'httpstcoggwnlhn']"
"['niaorea', 'sleep', 'flight', 'httpstcoanepnwmmg']"
"['nasa', 'nasapersevere', 'thought', 'month', 'long', 'time', 'kinda', 'met', 'touch']"
